Fuel Type,Body Type,Kilometers Driven,Transmission Type,Number of Owners,Manufacturer,Model,Model Year,Variant ID,Variant Name,Price,Location,Registration_Year,Insurance Validity,Seats,RTO,Engine Displacement,Transmission,Mileage,Engine,Max Power,Torque,Color,Engine Type,No of Cylinder,Values per Cylinder,Value Configuration,Fuel Supply System,Turbo Charger,Super Charger,Length,Width,Height,Wheel Base,Kerb Weight,Gross Weight,Gear Box,Drive Type,Steering Type,Front Brake Type,Rear Brake Type,Top Speed,Acceleration,Tyre Type,No Door Numbers,Cargo Volumn,Wheel Size,Alloy Wheel Size
Petrol,Hatchback,19000.0,Manual,1.0,Hyundai,Hyundai Grand i10,2019.0,5607.0,1.2 Kappa Asta,695000.0,bangalore,2019.0,Third Party insurance,5.0,KA04,1197.0,Manual,18.9,1197.0,81.86,113.75,Blue,Kappa VTVT Petrol Engine,4.0,4.0,DOHC,MPFI,No,No,3765.0,1660.0,1520.0,2425.0,1060.0,1520.0,5.0,FWD,Power,Disc,Drum,165.0,12.9,Tubeless,5.0,256.0,14.0,14.0
Petrol,SUV,14000.0,Automatic,1.0,Kia,Kia Seltos,2020.0,7122.0,GTX Plus DCT,1725000.0,bangalore,2020.0,Comprehensive,5.0,KA01,1353.0,Automatic,16.5,1353.0,138.08,242.0,White,Smartstream G1.4,4.0,4.0,Default,GDi,Yes,Default,4315.0,1800.0,1645.0,2610.0,1535.0,1520.0,7.0,FWD,Electric,Disc,Disc,172.0,12.9,"Tubeless, Radial",5.0,433.0,17.0,17.0
Petrol,Hatchback,64374.0,Automatic,1.0,Honda,Honda Jazz,2018.0,1340.0,1.2 V AT i VTEC,755000.0,bangalore,2018.0,Third Party insurance,5.0,KA05,1199.0,Automatic,19.0,1199.0,88.7,110.0,Grey,i-VTEC Petrol Engine,4.0,4.0,SOHC,PGM - Fi,No,No,3955.0,1694.0,1544.0,2530.0,1066.0,1520.0,5.0,FWD,Power,Disc,Drum,172.0,13.7,"Tubeless,Radial",5.0,354.0,15.0,15.0
Petrol,SUV,40000.0,Automatic,1.0,Hyundai,Hyundai Creta,2018.0,6432.0,1.6 SX Automatic,1280000.0,bangalore,2018.0,Third Party insurance,5.0,KA51,1591.0,Automatic,14.8,1591.0,121.3,151.0,Others,VTVT Petrol Engine,4.0,4.0,DOHC,MPFi,No,No,4270.0,1780.0,1665.0,2590.0,1300.0,1520.0,6.0,FWD,Power,Disc,Drum,172.0,12.9,Tubeless,5.0,400.0,17.0,17.0
Diesel,Hatchback,40562.0,Manual,1.0,Hyundai,Hyundai i20,2012.0,1650.0,Era 1.4 CRDi,436000.0,bangalore,2012.0,Third Party,5.0,KA51,1396.0,Manual,22.54,1396.0,88.76,219.6,Red,U2 CRDi Diesel Engine ,4.0,4.0,DOHC,CRDI,No,No,3995.0,1710.0,1505.0,2525.0,1120.0,1520.0,6.0,FWD,Power,Disc,Drum,172.0,12.9,"Tubeless,Radial",5.0,350.0,14.0,14.0
Petrol,SUV,26500.0,Automatic,2.0,Hyundai,Hyundai Creta,2021.0,10536.0,SX Opt Turbo DCT,1675000.0,bangalore,2021.0,Comprehensive,5.0,KA03,1397.0,Automatic,19.034517025712297,1397.0,138.12,242.0,White,1.4 L Turbo GDi Petrol,4.0,4.0,DOHC,GDi,Yes,Default,4300.0,1790.0,1635.0,2610.0,1465.0,1520.0,7.0,FWD,Power,Disc,Disc,172.0,12.9,"Tubeless, Radial",5.0,350.0,17.0,17.0
Petrol,SUV,20000.0,Automatic,1.0,Hyundai,Hyundai Venue,2019.0,6946.0,SX Plus Turbo DCT BSIV,1250000.0,bangalore,2019.0,Third Party insurance,5.0,KA05,998.0,Automatic,18.15,998.0,118.35,171.6,Others,Default,3.0,4.0,Default,GDi,Yes,Default,3995.0,1770.0,1605.0,2500.0,1440.0,1520.0,7.0,FWD,Power,Disc,Drum,172.0,12.9,Radial,5.0,350.0,16.0,16.0
Petrol,SUV,20000.0,Automatic,1.0,Hyundai,Hyundai Venue,2019.0,6946.0,SX Plus Turbo DCT BSIV,1250000.0,bangalore,2019.0,Third Party insurance,5.0,KA05,998.0,Automatic,18.15,998.0,118.35,171.6,Others,Default,3.0,4.0,Default,GDi,Yes,Default,3995.0,1770.0,1605.0,2500.0,1440.0,1520.0,7.0,FWD,Power,Disc,Drum,172.0,12.9,Radial,5.0,350.0,16.0,16.0
Petrol,SUV,20000.0,Automatic,1.0,Kia,Kia Seltos,2020.0,7122.0,GTX Plus DCT,1625000.0,bangalore,2020.0,Third Party insurance,5.0,KA03,1353.0,Automatic,16.5,1353.0,138.08,242.0,Others,Smartstream G1.4,4.0,4.0,Default,GDi,Yes,Default,4315.0,1800.0,1645.0,2610.0,1535.0,1520.0,7.0,FWD,Electric,Disc,Disc,172.0,12.9,"Tubeless, Radial",5.0,433.0,17.0,17.0
Petrol,Hatchback,52204.0,Manual,1.0,Maruti,Maruti Alto K10,2017.0,10332.0,VXI,385000.0,bangalore,2017.0,Third Party,5.0,KA13,998.0,Manual,24.39,998.0,65.71,89.0,Silver,K10C,3.0,4.0,Default,Default,Default,Default,3530.0,1490.0,1520.0,2380.0,755.0,1520.0,5.0,FWD,Power,Disc,Drum,172.0,12.9,"Tubeless, Radial",5.0,214.0,16.0,16.0
